Draw_Number,Winning_Number_1,Winning_Number_2,Winning_Number_3,Winning_Number_4,Winning_Number_5,Winning_Number_6
332110,18,26,27,48,51,53
332210,6,15,25,27,30,37
332310,14,17,21,31,38,46
332410,15,18,37,39,44,52
332510,2,8,24,31,33,50
332610,16,26,27,39,40,46
332710,16,19,28,36,47,54
332810,11,21,25,39,43,49
332910,1,22,23,48,49,57
333010,10,12,36,40,45,47
333110,2,6,36,38,49,50
333210,19,22,34,41,48,52
333310,1,21,29,30,35,46
333410,3,9,28,33,37,54
333510,13,14,18,29,30,49
333610,7,12,18,31,41,49
333710,10,11,22,29,36,51
333810,2,3,25,26,29,52
333910,10,13,18,31,50,53
334010,1,9,12,27,45,50
334110,2,20,21,22,31,34
334210,7,19,22,25,44,49
334310,5,23,26,27,43,49
334410,13,18,22,40,48,55
334510,30,33,39,41,43,54
334610,6,30,46,48,56,58
334710,8,10,15,21,31,32
334810,17,39,43,44,50,54
334910,1,13,17,21,37,58
335010,11,28,30,37,39,58
335110,1,14,20,42,48,49
335210,5,7,10,11,13,27
335310,12,16,42,43,48,49
335410,10,27,30,36,38,40
335510,8,14,29,41,43,57
335610,14,26,27,40,41,50
335710,5,21,22,24,27,32
335810,1,16,21,41,49,51
335910,4,17,23,34,41,43
336010,2,18,39,45,46,55
336110,5,11,29,32,47,58
336210,3,4,21,26,54,58
336310,6,7,47,50,52,53
336410,14,25,39,42,47,50
336510,6,12,15,18,25,58
336610,8,22,32,43,45,51
336710,5,6,22,50,52,55
336810,6,10,20,29,41,54
336910,6,18,19,41,45,47
337010,13,19,30,35,38,58
337110,19,20,31,33,47,58
337210,5,15,19,20,45,49
337310,6,14,31,35,43,44
337410,2,4,8,18,45,48
337510,2,8,33,36,41,44
337610,7,11,27,28,37,40
337710,4,21,31,44,51,58
337810,7,18,35,41,43,50
337910,3,4,34,37,38,57
338010,8,16,44,45,46,52
338110,5,9,16,38,42,49
338210,5,19,23,28,47,58
338310,24,33,36,39,42,50
338410,15,23,24,26,37,47
338510,8,21,22,35,41,58
338610,1,2,27,40,54,55
338710,1,7,8,40,46,57
338810,1,21,46,49,51,53
338910,10,19,27,31,34,51
339010,7,12,14,23,31,35
339110,9,11,31,44,48,57
339210,5,8,9,20,52,54
339310,21,23,25,34,43,47
339410,20,21,23,30,31,44
339510,21,23,42,49,55,58
339610,9,12,15,40,46,48
339710,10,25,34,35,47,52
339810,12,14,16,35,45,46
339910,5,15,28,33,38,56
340010,12,30,35,41,43,55
340110,7,20,29,35,36,56
340210,1,3,6,27,44,49
340310,3,6,8,22,26,32
340410,15,38,41,48,49,52
340510,10,16,29,40,44,57
340610,12,17,21,31,33,35
340710,16,24,26,34,36,46
340810,11,17,19,24,40,44
340910,3,7,28,35,48,50
341010,3,11,13,21,53,54
341110,1,3,13,18,20,36
341210,21,23,26,43,44,54
341310,8,11,19,22,54,55
341410,11,22,27,30,35,53
341510,4,8,11,13,17,48
341610,2,4,24,26,32,53
341710,6,14,32,42,48,56
341810,6,20,23,32,38,50
341910,4,18,19,27,46,49
342010,2,3,10,24,30,39
342110,17,18,26,30,42,50
342210,3,6,7,9,37,46
342310,13,28,39,40,42,57
342410,8,14,27,35,42,55
342510,7,33,38,44,52,56
342610,7,11,18,19,22,26
342710,11,13,24,33,35,49
342810,2,11,15,36,44,51
342910,7,19,26,30,38,39
343010,3,4,11,29,40,53
343110,1,5,25,29,33,53
343210,9,17,22,29,36,45
343310,13,19,30,35,39,52
343410,20,25,34,47,49,56
343510,14,22,26,29,41,46
343610,5,8,17,21,31,42
343710,19,27,36,38,43,54
343810,5,22,25,43,46,58
343910,9,19,29,41,43,55
344010,10,11,26,31,43,52
344110,5,13,21,26,38,54
344210,23,27,30,49,51,53
344310,13,20,22,32,41,49
344410,4,11,44,49,54,56
344510,23,27,33,41,55,57
344610,4,9,22,25,28,36
344710,14,23,30,35,44,53
344810,3,9,29,35,54,55
344910,5,9,10,18,28,50
345010,4,11,17,21,23,41
345110,1,13,19,20,28,55
345210,9,24,32,34,38,39
345310,16,21,24,29,35,54
345410,10,14,20,31,37,38
345510,1,6,20,32,40,54
345610,11,17,26,40,48,52
345710,5,22,46,55,57,58
345810,18,32,45,50,51,53
345911,8,13,25,26,30,35
346011,11,27,33,37,44,51
346111,16,20,21,27,28,54
346211,10,14,15,16,25,46
346311,1,5,11,13,16,27
346411,4,5,13,20,23,35
346511,16,22,33,35,39,43
346611,4,7,18,31,54,55
346711,9,34,42,48,52,53
346811,9,13,18,28,33,47
346911,6,22,27,30,51,52
347011,16,26,33,35,40,43
347111,3,12,21,22,28,56
347211,1,22,42,48,51,52
347311,7,9,24,25,33,53
347411,12,20,42,50,51,56
347511,2,21,33,38,47,50
347611,1,12,16,26,35,42
347711,19,20,24,38,46,57
